IncidentName,CreateDate
Pyramid  Lake,2020/08/13 18:18:48
Barney,2020/08/13 18:20:09
Indian Springs,2020/07/17 05:59:38
Thunder,2020/08/17 17:52:52
Old Lost,2020/06/20 21:41:41
Carp,2020/08/13 18:22:37
Soldier,2020/08/17 22:12:24
Tikura,2020/07/28 00:03:50
Zane Hills,2020/06/20 21:39:20
Painter,2020/08/12 23:15:05
South Dietrich,2020/08/06 16:15:53
Baker Canyon ,2020/07/10 01:37:26
Jenny Creek ,2020/07/28 02:30:04
Patrick ,2020/08/13 18:18:49
Hardscrabble 1,2020/08/13 18:21:01
Rowdy,2020/08/13 18:19:46
Sloan 15,2020/08/13 18:19:53
Rock Fish,2020/07/16 14:55:06
Lucky,2020/07/27 16:32:28
Muddy Mtn,2020/08/13 18:20:45
Mule Springs,2020/08/13 18:21:18
North Center 2,2020/08/13 18:20:57
Luck,2020/08/11 19:20:07
White,2020/08/13 18:23:02
DRY DEEP CREEK,2020/08/06 15:53:53
Alkali Ridge,2020/07/15 20:48:39
Swamp Spring,2020/08/13 18:19:32
Mangum,2020/06/26 16:04:11
Big Springs ,2020/06/19 21:54:38
Aklumayuak Creek 2,2020/06/20 21:42:27
Knolls,2020/06/29 19:44:56
Thomas,2020/08/19 17:10:43
Ruiz Lake,2020/07/13 13:11:17
Beaver Creek,2020/08/01 16:18:59
Wire Pass,2020/06/27 23:11:16
Picabo,2020/07/29 13:03:07
Birch Creek,2020/08/06 23:51:44
Juniper Butte ,2020/08/15 16:36:28
Reindeer Creek,2020/06/20 21:42:08
Shafter,2020/08/13 18:21:52
Trout Creek,2020/06/20 21:42:16
Black Canyon,2020/07/04 13:52:17
NORTH BROWNSTOWN 2,2020/08/08 14:40:04
Sloan 19,2020/08/13 18:20:14
Sloan 21,2020/08/13 18:22:14
Madison Creek,2020/07/08 22:29:09
Lane,2020/08/13 20:10:31
MM 7A,2020/08/13 18:18:52
Catterson Creek,2020/08/10 18:40:04
Poeville ,2020/08/13 18:21:20
Coyote,2020/08/07 01:44:40
TRIMMER,2020/08/17 17:06:58
Dun Glen,2020/08/17 05:39:07
Taylor Creek,2020/08/18 16:44:21
Black Rock 2,2020/06/22 17:12:24
Nip and Tuck,2020/08/11 16:00:35
Road D SPD-305,2020/07/09 20:17:38
Whiskers Draw,2020/06/19 21:52:31
ELDER,2020/08/17 19:30:04
Blue Gill,2020/07/08 13:52:07
Unionville Assist,2020/08/18 05:15:19
SUNSET,2020/07/28 19:59:37
Vista,2020/08/13 18:18:42
Lucin,2020/06/19 21:54:22
Generic,2020/07/17 22:19:48
Guava,2020/07/20 14:59:47
Wildcat,2020/08/18 00:30:05
Stupa,2020/08/04 20:48:18
Porcupine,2020/06/23 16:31:30
Hidden Dome,2020/08/09 16:00:06
Sloan 13,2020/08/13 18:23:30
Bingham County Assist 2,2020/08/03 23:05:01
Cabin Creek,2020/07/14 15:11:48
Cap,2020/07/28 00:03:53
Sloan Shoot,2020/08/13 18:20:22
Cottonwood,2020/08/13 18:23:11
Jiggs,2020/08/13 18:21:30
Eckman Coulee - Garfield,2020/08/03 17:06:10
Caribou Road,2020/06/20 21:35:51
Gold,2020/08/13 18:22:11
Abbott,2020/07/14 15:25:26
Little Toe,2020/08/13 18:19:40
Broad Canyon,2020/06/19 21:53:41
George Fire,2020/07/29 18:56:04
Dry Gulch,2020/07/25 21:27:59
Mullet West,2020/07/20 14:06:34
MM 7C,2020/08/13 18:18:54
AMERICA,2020/07/10 20:26:09
Sheldon,2020/08/13 18:20:51
EDWARDS,2020/07/10 20:24:15
Scrabble,2020/08/20 00:13:02
Chinese Peak,2020/07/20 19:02:03
Limerick,2020/08/18 21:20:30
Graves Creek,2020/08/17 00:40:05
Cobia,2020/07/20 13:02:17
CARLSON,2020/07/20 19:37:12
MARK,2020/07/31 17:05:25
Jakes,2020/08/13 18:22:59
Sloan 6,2020/08/13 18:21:33
Browns,2020/07/28 00:03:58
Rock Path,2020/06/27 03:19:56
Mud Flat,2020/07/29 13:23:23
Poverty Point,2020/07/15 16:21:43
Banddana Creek,2020/06/23 16:12:37
Winter Kill,2020/08/19 17:27:12
Settlers Bay Golf Course,2020/06/20 21:35:50
West Slope,2020/07/28 00:03:51
Bagley,2020/08/13 18:22:06
Crestview,2020/07/08 14:10:18
Sheepshead,2020/07/20 15:03:03
Arrow Canyon,2020/08/13 18:23:00
Bowknot,2020/06/19 21:52:44
Mccornick,2020/06/19 21:52:39
Twin,2020/08/13 18:19:12
Snakehead,2020/07/20 14:15:45
Blue Creek,2020/07/23 17:05:35
Sodhouse,2020/07/08 21:33:51
Isom Creek,2020/07/06 21:48:53
Coyote,2020/08/13 18:19:28
Rock Creek 0103 RN,2020/07/10 20:21:33
Tabby Canyon,2020/06/19 21:52:45
Coffee Dome,2020/06/20 21:42:58
Chukar,2020/08/10 19:44:52
Idahome,2020/07/28 22:06:32
Innoko,2020/06/23 17:16:43
Center 2,2020/08/10 02:13:19
Magic 1,2020/08/13 18:19:14
Hettinger,2020/07/22 20:20:18
Toe,2020/08/13 18:22:43
Lady Face ,2020/07/22 00:16:06
Little City,2020/07/10 20:22:39
Dogskin MT,2020/08/16 02:51:05
Hog,2020/08/04 21:09:57
TJ,2020/06/19 21:52:39
Communications Tower,2020/08/13 18:23:31
Rosland Road 0429 NE,2020/07/20 14:38:00
MM 58,2020/08/13 18:22:44
Rabbit Mountain,2020/06/20 21:41:12
Sage,2020/08/13 18:19:34
Sloan 14,2020/08/13 18:22:33
Voyage,2020/08/13 18:19:42
Murphy,2020/06/22 21:31:18
Dump Rd,2020/08/13 18:22:27
PALMER,2020/08/18 22:15:06
Bedrock,2020/07/06 22:11:30
Pony Express,2020/08/13 18:18:58
Hogan,2020/08/13 18:20:06
Prairie,2020/08/17 12:46:26
Lund,2020/07/08 17:40:18
Pillar Falls,2020/07/21 17:54:58
Numbers,2020/08/13 18:19:55
Rabbit River,2020/06/20 21:43:23
Crevelle,2020/07/20 14:00:18
Sheenjek River,2020/07/20 15:35:20
Fort Hall Assist 3,2020/08/04 16:13:14
Comet,2020/08/13 18:20:40
Kanuti River,2020/06/20 21:40:07
Yankee Slough 3 ,2020/07/15 22:58:03
Minidoka Dam,2020/08/18 01:45:07
Elberta ,2020/06/19 21:53:14
Big Hollow,2020/08/05 00:37:18
Slaughterhouse,2020/06/30 16:00:07
Thompson ,2020/08/08 20:19:26
Horn Mountain,2020/08/06 18:00:54
Little Tonzona River,2020/06/20 21:40:18
Malaspina,2020/06/20 21:35:52
Kateel River,2020/07/15 22:58:40
Trumpeter,2020/06/20 21:35:57
North Hansen Bridge,2020/07/17 14:28:15
Rowena,2020/07/10 20:25:25
MM 129,2020/08/13 18:23:25
Mcfait Canyon,2020/07/27 13:05:11
Big River,2020/06/23 17:26:55
MM 7B,2020/08/13 18:18:53
Gardner,2020/08/20 01:55:23
Sun,2020/08/13 18:18:55
Trail Through Time,2020/07/09 20:52:00
Titnuk Creek,2020/07/22 18:07:39
Kimama,2020/07/13 02:40:42
Juniper,2020/07/28 00:03:54
Richard Mtn,2020/08/07 16:10:39
Muddy Creek,2020/07/16 22:41:15
MM 116,2020/08/13 18:22:30
Constantia,2020/08/13 18:19:29
Golden,2020/07/27 20:20:04
Antelope,2020/07/24 14:17:28
Bighorn,2020/07/12 02:45:21
Devils Armchair,2020/08/19 15:04:28
Victoria Creek,2020/06/23 15:29:39
Imikneyak Creek,2020/06/20 21:42:26
Lower Kobuk Canyon,2020/06/20 21:41:13
Izzenhood Road,2020/08/19 07:13:39
Central,2020/06/22 23:05:29
Brown,2020/08/13 18:20:24
Stewart,2020/07/14 18:20:48
Horn,2020/07/22 22:19:51
Turkey Farm Road,2020/07/15 16:21:02
Dry Creek,2020/07/10 20:25:43
Marys,2020/08/11 04:25:24
Spring Rain,2020/08/13 18:18:47
Crippen,2020/08/09 20:27:17
Dunlap ,2020/08/13 18:21:50
Telegraph,2020/07/09 15:40:21
FIR MOUNTAIN,2020/08/02 07:00:04
Prairie,2020/08/14 17:03:51
Bertschi Road,2020/07/18 01:44:17
COLOCKUM,2020/07/24 22:15:04
Mule Springs 5,2020/08/13 18:19:48
Sloan 12,2020/08/13 18:22:14
Red,2020/08/13 18:21:31
Bannock County Assist 3,2020/08/05 23:19:04
South Milk,2020/08/18 01:10:40
Neals Hill,2020/08/07 18:34:57
Apex,2020/08/13 18:23:04
Engineer Lake 2,2020/06/20 21:40:14
Lucy,2020/07/20 19:36:04
Willows,2020/08/13 18:19:35
Whiskey,2020/08/19 14:35:53
MP 6,2020/07/10 20:19:45
Black River,2020/06/20 21:42:59
Powerline,2020/08/13 18:19:00
Kgun Lake,2020/08/04 19:10:51
Kawichiark River 2,2020/06/20 21:41:25
Yellow Jack,2020/07/20 14:59:45
Krumbo,2020/07/31 18:59:55
9Th Street,2020/06/19 21:52:40
MM 167,2020/08/13 18:23:39
Railroad,2020/08/13 18:20:11
Yellow Jacket,2020/07/29 23:03:18
Dixie,2020/08/10 19:05:58
MM 111,2020/08/06 20:50:53
R-3 SKEDDADLE,2020/07/22 22:01:38
Miller,2020/08/13 18:19:10
Leaf Lake,2020/06/20 21:35:55
Loop ,2020/08/13 18:23:16
Ruby Hill,2020/08/13 18:18:38
GREEN,2020/07/27 23:35:04
MILEPOST 26,2020/08/06 16:58:37
Shannon,2020/06/22 19:27:46
Nageethluk River,2020/06/20 21:39:22
Big Waldren Fork,2020/06/20 21:42:53
Hidden Shores,2020/07/10 20:20:30
Sloan 20,2020/08/13 18:19:47
Dall River,2020/06/20 21:40:05
Harper Draw,2020/07/30 16:51:57
Mullet East,2020/07/20 14:04:04
Sandy,2020/07/25 16:04:16
Hat,2020/07/28 00:04:04
Black Butte,2020/07/24 16:45:29
Gap,2020/08/13 18:19:59
Dry,2020/08/13 18:19:33
Peridot,2020/06/20 21:35:46
Gold Mountain,2020/07/15 16:12:40
Hubby,2020/08/04 15:49:13
Stage,2020/08/01 02:34:54
Allen,2020/07/15 19:26:26
Green Meadows,2020/07/14 20:32:11
Laney,2020/08/19 19:05:51
East Beach Road,2020/07/30 00:55:04
Stockyard,2020/08/13 18:22:07
Conns - Prairie,2020/07/21 23:03:06
Cold,2020/08/13 18:21:09
Silver,2020/08/13 18:21:38
Apex,2020/07/23 15:30:05
Whitewater,2020/07/22 15:03:24
Cottonwood ,2020/07/28 21:30:47
Golden Eagle 1,2020/08/13 18:22:01
Parleys,2020/08/07 15:56:15
Little Chena - South,2020/06/20 21:43:06
Baldy,2020/08/13 18:21:49
Rookery Branch,2020/07/10 20:24:41
Harney River,2020/07/10 20:24:42
Thumb,2020/07/19 17:51:09
Interchange,2020/07/24 20:40:58
Eagle 2,2020/08/13 18:21:40
Any Creek,2020/07/20 18:26:47
Vegas Blvd,2020/08/13 18:22:54
Gar,2020/07/20 16:04:45
SPRING CREEK,2020/08/14 22:23:27
Cedar Fort,2020/08/13 02:42:37
POISON SPIDER 2,2020/08/04 12:57:06
Sunrise Creek,2020/06/23 22:35:28
Garland Creek,2020/06/20 21:43:21
Guinn Canyon,2020/08/07 19:33:20
MM 150,2020/08/13 18:21:57
Lead Draw,2020/07/09 00:11:28
Pine Hollow,2020/07/30 02:10:04
Dry Meadows,2020/07/10 20:23:22
Hidden Valley 2,2020/08/13 18:23:35
Ingakslugwat Hills,2020/07/15 16:34:09
Shungnak River,2020/06/20 21:43:20
Slate,2020/07/22 19:57:10
SUNDAY AFTERNOON,2020/07/10 20:21:29
Hog,2020/07/12 22:34:25
Nageethluk River 1,2020/06/20 21:39:23
Water Tower,2020/07/18 13:01:23
Lost,2020/08/13 18:22:57
Innoko Headwaters,2020/06/23 17:11:25
ALKALI ,2020/08/19 00:30:04
Rock Farm,2020/08/13 18:20:56
Simon Creek,2020/06/29 18:06:27
Lanae ,2020/08/13 18:19:20
Saddle,2020/08/19 19:58:03
Bearpaw Mountain,2020/07/15 16:17:05
Dugway ,2020/08/21 14:03:49
244,2020/08/21 20:32:02
Timber - Fallon,2020/08/21 20:46:01
Hidden Water - Fallon,2020/08/21 20:57:09
Young ,2020/08/19 05:04:01
Lander - Fallon,2020/08/21 21:13:47
Squabble - Fallon,2020/08/21 22:21:21
Johnson - Fallon,2020/08/21 22:25:36
Upper Cramer,2020/08/21 22:26:53
Badger Lake,2020/08/21 23:43:15
Ormill,2020/08/21 23:04:04
HOG RIDGE 0739 PR,2020/08/22 02:15:00
Iron,2020/08/17 17:50:05
Salt,2020/08/22 13:35:38
Sunny Gulch,2020/08/22 16:34:09
Flat,2020/08/22 17:30:44
MOC,2020/08/20 19:40:06
NAVAL OIL,2020/08/22 19:36:28
YU,2020/08/22 20:13:59
Wildhorse,2020/08/20 17:26:27
Hammer,2020/08/22 23:48:43
Sitkum,2020/08/23 01:24:02
Indian Creek,2020/08/23 02:55:34
Laurel ,2020/08/23 17:25:29
Black Canyon,2020/08/23 17:51:42
Lake,2020/08/23 18:18:42
Tonkin,2020/08/23 18:37:24
Blackfoot,2020/08/23 19:41:01
Cree,2020/08/23 19:58:18
Elk Creek,2020/08/24 00:32:51
MM207,2020/08/23 18:25:04
Locust Spring,2020/08/24 15:45:08
Atkin Spring,2020/08/24 16:30:14
Little Purgatory,2020/08/24 16:39:38
Red ,2020/08/24 16:52:55
Gravel - Fallon,2020/08/24 18:55:17
Pinnow - Fallon,2020/08/24 19:12:36
Bowers,2020/08/24 19:37:11
Sandstone - Fallon,2020/08/24 19:40:01
Rising - Fallon,2020/08/24 19:59:27
Greenville,2020/08/24 20:19:39
Baboon,2020/08/24 20:22:47
Beaver - Fallon,2020/08/24 20:40:29
Dry - Fallon,2020/08/24 21:10:46
Willard - Fallon,2020/08/24 21:55:13
First,2020/08/24 22:28:00
Little,2020/08/24 22:34:51
Copper,2020/08/18 22:35:05
Hager Ridge,2020/08/24 23:20:25
Horse,2020/08/24 23:20:25
Paxton,2020/08/18 22:15:06
Davis,2020/08/18 21:55:07
Gray Hill,2020/08/24 20:22:02
Gray Hill 2,2020/08/24 21:53:18
Polethief Canyon,2020/08/25 01:29:13
Boxcar,2020/08/21 23:59:06
Greek Spring,2020/08/25 00:29:37
Trout Point,2020/08/25 04:30:36
Meadow Mine 2,2020/08/25 10:54:10
Dalton Wash,2020/08/25 13:29:33
ANGLIN,2020/08/25 13:59:21
Wolverine Canyon,2020/08/25 14:47:03
cedar,2020/08/23 14:47:05
Scrub,2020/08/25 15:31:02
Meadow Mine,2020/08/25 15:48:02
Smoky,2020/08/25 15:52:00
Herrin,2020/08/25 16:27:16
RIVER,2020/08/25 17:15:05
CARMEL.,2020/08/25 17:16:38
Devils Corral,2020/08/25 18:32:57
Spring,2020/08/25 19:44:53
DOME,2020/08/18 15:23:56
Flemings ,2020/08/17 21:40:05
Monitor,2020/08/18 00:50:05
Kessler,2020/08/17 18:40:07
Anna,2020/08/18 22:15:06
Monitor 2,2020/08/18 22:25:05
Neer,2020/08/17 17:50:05
Meyers,2020/08/18 22:15:06
Davis 2,2020/08/18 22:20:04
Monitor 3,2020/08/18 22:15:06
Branch,2020/08/18 17:40:05
Onion,2020/08/18 21:55:07
Willard,2020/08/17 21:40:05
Yates - Wibaux,2020/08/25 21:01:00
Rocky Gap,2020/08/25 21:02:04
MM244 - Wibaux,2020/08/25 21:45:21
Pole Creek,2020/08/26 00:06:52
Welcome ,2020/08/26 00:26:53
Snow Flower,2020/08/26 00:27:58
County Line,2020/08/26 00:30:08
Limekiln,2020/08/26 00:31:28
Foothills,2020/08/26 00:54:21
R-9,2020/08/25 03:25:04
Huntoon,2020/08/25 19:37:27
Rattlesnake,2020/08/26 03:03:05
Frog 0657 RS,2020/08/26 05:09:44
Miner Creek,2020/08/26 13:59:50
Coal Mine,2020/08/26 14:18:39
Meddler,2020/08/26 14:56:50
Ryegrass ,2020/08/26 15:14:35
Buffalo,2020/08/26 16:14:28
Crane,2020/08/26 16:30:37
Trout Creek,2020/08/17 16:50:05
Pine Gulch,2020/08/26 18:09:10
Winter Ridge 2,2020/08/26 18:43:25
Poles,2020/08/26 20:41:48
Swisher ,2020/08/26 21:10:34
Bartines,2020/08/26 22:22:52
SADDLE,2020/08/26 23:11:14
Meadow Road,2020/08/27 02:34:02
P515,2020/08/27 02:45:39
Hamilton,2020/08/27 03:12:16
Clark Well ,2020/08/27 13:38:07
Jenkins,2020/08/27 15:31:27
R-8 PINECONE,2020/08/27 15:58:20
Thorpe,2020/08/27 16:06:05
Bend,2020/08/23 15:31:07
Sam Boyd,2020/08/27 19:20:47
Medio,2020/08/27 19:42:21
Lake Valley,2020/08/28 04:27:48
LNU Lightning Complex,2020/08/28 10:03:44
Rock,2020/08/13 18:21:11
Georgetown ,2020/08/28 13:48:53
Loyalton,2020/08/28 17:00:40
Red Rock,2020/08/28 17:20:54
Griffin,2020/08/28 17:18:24
Alder,2020/08/28 17:18:24
Rockhouse,2020/08/28 17:04:01
Superstition,2020/08/28 19:17:40
Cowboy,2020/08/28 20:52:18
Paget,2020/08/28 15:18:01
HIGH,2020/08/23 01:05:05
BRUSHY,2020/08/23 01:00:04
ELK,2020/08/23 18:07:10
STAGECOACH,2020/08/23 03:15:10
4-9,2020/08/17 21:35:06
Box,2020/08/29 05:38:53
Medicine,2020/08/29 17:50:41
Jay Creek,2020/08/27 16:30:12
Bench,2020/08/24 00:00:04
LKC #2,2020/08/13 17:59:15
Lucky,2020/08/11 21:09:15
Gulch Road,2020/08/30 01:50:18
Cassadore Springs,2020/08/30 02:45:15
Marshall Butte,2020/08/30 02:53:26
Blue River,2020/08/30 03:18:50
Valley,2020/08/30 03:37:33
Big Sky,2020/08/30 13:23:55
Jeep Trail,2020/08/22 15:30:05
Peaceful Mutual Aid,2020/08/30 16:24:27
Big Creek,2020/08/30 01:41:56
W-4 TERMO,2020/08/30 22:40:47
Black Sand,2020/08/30 23:36:30
Crestview 2,2020/08/30 23:43:55
Coach,2020/08/31 00:46:34
Hidden,2020/08/31 10:35:21
Hickory Creek wildfire FY20,2020/08/31 15:40:31
Sweet Creek MP 2,2020/08/30 23:25:04
Dives,2020/08/24 15:21:28
Diamond Butte,2020/08/23 21:45:04
Bear Creek ,2020/08/31 19:35:07
Bear Creek,2020/08/31 23:27:06
Airway Beacon,2020/09/01 00:13:00
Loop B,2020/08/20 16:15:07
Evans,2020/08/17 21:35:06
Las Vegas Blvd,2020/08/31 00:08:12
Badger,2020/09/01 16:02:35
Homecreek,2020/08/30 14:42:01
Flatland,2020/08/28 03:55:17
Lima 1,2020/09/01 17:00:52
Gypsum Springs,2020/09/01 17:06:14
Pumpkin,2020/08/09 14:39:07
California Ave,2020/09/01 02:50:04
King,2020/09/01 20:16:37
Lieutenant,2020/09/01 20:25:29
EVANS CANYON,2020/08/31 23:00:05
Flash ,2020/08/29 17:51:47
Cedar ridge ,2020/09/01 17:37:52
DRY CREEK,2020/09/01 23:52:55
Starlight,2020/08/31 08:25:05
White Mountain,2020/09/02 17:29:18
Slough Grass,2020/09/02 17:44:12
Smokey Hollow,2020/09/02 19:04:29
River Road,2020/08/08 02:55:04
Lower Canyon,2020/09/03 13:18:18
MITCHELL CREEK ,2020/08/29 17:45:13
MM109 HWY20,2020/08/28 22:23:46
POTRERO,2020/09/03 19:23:05
HEATON ROAD,2020/09/02 22:20:06
Lackey Fan,2020/09/03 20:49:30
Zook,2020/09/03 21:08:47
Muldoon Canyon,2020/09/03 21:32:36
Huff,2020/09/03 22:57:11
Slink,2020/09/03 23:30:53
Shell,2020/09/04 01:00:31
Lofer,2020/09/04 13:42:45
Dry Lake,2020/09/04 16:40:43
Grizzly Creek,2020/09/04 18:29:16
Daily,2020/09/04 19:30:14
Leggit,2020/09/04 23:28:49
Welch,2020/09/05 06:16:32
Ohlone,2020/09/05 06:16:32
Del Puerto,2020/09/05 06:16:32
White River,2020/09/05 17:02:44
Grizzly Creek,2020/09/05 19:59:13
North Bear,2020/09/06 01:00:44
Wild Mountain ,2020/09/06 10:21:58
Woodward,2020/09/06 11:31:04
Badlands ,2020/08/13 18:22:22
Alkali 5,2020/09/06 20:52:15
Burford Canyon,2020/09/06 21:47:04
Crow Creek,2020/09/06 18:03:41
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:33:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:37:46
Sage Hen,2020/09/06 16:45:45
Green Ridge,2020/09/07 05:47:25
W-5 Cold Springs,2020/09/07 06:24:14
Big Windy,2020/09/07 19:24:54
PEARL HILL,2020/09/07 22:53:22
BobCat,2020/09/07 23:14:42
Swinging Bridge,2020/09/07 23:32:31
CZU Lightning,2020/09/08 03:34:48
Oneida County Assist 1,2020/09/08 02:03:48
Rural Assist 3,2020/09/08 05:41:38
Willow,2020/09/08 13:35:33
615 Wildfire,2020/09/08 15:08:11
WICKIUP,2020/09/08 16:13:16
Customs Road,2020/09/08 17:11:56
Ether Hollow,2020/09/08 17:35:19
BIG HOLLOW,2020/09/08 18:43:49
EUCLID TRACKS,2020/09/08 18:50:46
MANNING RD,2020/09/08 21:55:20
Apple Acres,2020/09/08 23:36:48
"Butte, Tehama, Glenn Lightning Complex",2020/09/07 04:33:46
Sheep,2020/09/09 05:39:24
Coyote,2020/09/07 20:28:30
Summit,2020/09/07 15:52:08
Reavis,2020/09/09 21:09:50
Reservoir,2020/09/09 21:17:22
Juno - Rosebud,2020/09/09 21:28:52
Bridger Foothills,2020/09/09 21:07:40
Whitney,2020/09/09 17:10:57
Moon,2020/09/09 23:23:05
Unger Rd Fire,2020/09/10 01:53:55
Lost Creek,2020/09/10 05:49:54
Carlyle - Wibaux,2020/09/10 19:53:47
Hotel - Rosebud,2020/09/10 14:39:24
Valley,2020/09/10 19:18:52
Oscar - Rosebud,2020/09/10 15:10:11
Thankful,2020/09/10 16:51:39
Lima - Rosebud,2020/09/10 14:28:47
Runaway,2020/09/10 15:31:47
Babb-Malden,2020/09/11 20:23:15
Half Moon,2020/09/11 21:00:04
Hunter 2,2020/09/09 19:03:40
Fry,2020/09/12 02:49:35
Almeda Drive,2020/09/12 02:49:35
Game,2020/09/12 08:09:26
Auburn,2020/09/09 23:05:11
Wildhorse,2020/09/12 20:19:01
Mule ,2020/09/12 19:19:34
Cattle Fire,2020/09/12 22:49:47
Dolan,2020/09/13 12:37:42
William,2020/09/13 15:19:33
East Lake,2020/09/13 16:01:06
242,2020/07/25 21:50:05
Battle Creek 2,2020/09/13 20:46:31
Long Rock,2020/09/14 00:58:19
Dowty Rd,2020/09/14 01:54:21
Whilhoit Rd.,2020/09/14 02:30:12
Curlew ,2020/09/14 15:57:14
StateCreek,2020/09/14 18:48:39
FRUIT VALLEY,2020/09/14 20:52:01
FISH,2020/09/14 21:34:13
HOPKINS,2020/09/14 21:26:59
Blackfoot Mountain,2020/09/15 01:10:36
Knowlton Road,2020/09/14 22:22:16
Twos,2020/09/02 19:58:15
Race Point South Blowout,2020/09/15 16:43:50
Echo Mountain Complex,2020/09/15 19:20:28
Tripp Coulee,2020/08/04 15:29:40
Connecticut,2020/09/15 16:02:38
Graves Creek,2020/09/16 00:23:43
S. Obenchain,2020/09/16 06:12:20
Disc,2020/09/16 08:44:51
Hortons Adventure Bound Fire,2020/09/16 14:23:12
MM80 HWY51,2020/09/16 14:00:39
Downey Creek,2020/08/17 00:40:05
wildcat ,2020/09/16 20:02:30
Nurse,2020/09/16 17:09:52
Seven Palms,2020/09/16 20:41:57
Dam,2020/09/16 23:17:41
Cattle,2020/09/16 23:40:05
Buck,2020/09/16 23:02:00
Inchelium Highway,2020/09/17 01:53:55
Wells,2020/09/17 09:31:17
Goshen,2020/09/17 03:38:55
Klikhtentotzna Creek,2020/09/17 16:22:44
Pine Creek Bench,2020/09/17 18:33:09
Faucet,2020/09/17 20:16:01
Elburz ,2020/09/18 01:03:03
Well,2020/09/18 01:57:35
Thielsen,2020/09/18 13:24:59
Wildflower,2020/09/01 19:23:42
Bogus,2020/09/18 17:06:14
Cold Springs,2020/09/18 18:48:59
Grouse,2020/09/18 18:46:24
Chaparral,2020/09/18 20:09:00
Beaver,2020/09/18 20:24:59
Marion,2020/09/18 20:33:02
Badger,2020/09/19 01:50:20
Wiltse,2020/09/19 15:47:42
Brattain,2020/09/19 15:57:39
Callahan,2020/09/19 18:32:41
Double Diamond,2020/09/20 02:22:25
BECKER CREEK,2020/09/20 18:37:33
Kewa Field,2020/09/20 19:05:19
Dry,2020/09/20 01:09:37
Central Facility,2020/09/21 14:56:57
Cat Canyon,2020/09/21 14:21:07
Molly ,2020/09/21 19:22:09
Holiday Farm,2020/09/21 17:15:09
Cotton Springs,2020/09/21 22:06:03
Pilot Rock,2020/09/21 22:31:22
Fox,2020/09/22 11:48:16
Shotgun,2020/09/22 12:09:54
Bingham County Assist 7,2020/09/04 20:39:20
Mocus Point,2020/09/13 15:40:13
Whitney 2,2020/09/21 20:12:00
Whitney 1,2020/09/22 01:05:30
Park Creek,2020/09/22 16:50:16
Rock Creek Canyon Rd,2020/09/02 14:43:46
COLD CREEK,2020/09/16 15:56:43
Willis Creek,2020/09/22 19:30:35
Ritter,2020/09/22 19:48:29
Canyon Creek,2020/09/23 00:34:23
Lime,2020/09/23 13:31:27
Bernard,2020/09/23 12:44:44
Lone Star,2020/09/23 13:19:31
Bed,2020/09/23 13:51:42
East Seven Mile,2020/09/23 17:11:15
Schill,2020/09/23 17:54:40
Husker,2020/09/23 17:06:43
Sarpy,2020/09/23 20:54:41
Drumming,2020/09/23 23:03:14
Garnet,2020/09/23 23:16:18
 Virgin Mountain,2020/09/24 01:03:47
Graveyard Creek,2020/09/24 16:17:13
Shissler,2020/09/24 19:42:26
Median,2020/09/24 21:09:46
Marshall Peak,2020/09/25 02:54:03
Maple Springs,2020/09/25 14:10:48
Cole,2020/09/25 19:20:44
Lake Como,2020/08/29 20:45:05
12 Mile,2020/08/28 01:40:05
Gass Flats,2020/09/26 18:01:27
Spanish Trail 2,2020/09/27 01:23:03
Mule Springs 6,2020/09/27 16:56:53
Island,2020/09/27 17:56:38
Bannock County Assist 5,2020/09/27 19:31:26
Deer Creek,2020/09/27 18:28:06
Veyo Road,2020/09/28 15:02:55
Olson,2020/09/28 16:00:04
EL DORADO,2020/09/28 19:57:44
Sears,2020/09/28 20:10:27
Grizzly,2020/09/24 18:59:29
Four Bear,2020/09/28 20:39:17
Porphyry,2020/09/29 00:46:38
Claremont-Bear,2020/09/29 13:54:44
Lightning Ridge,2020/09/29 16:43:08
Homestead,2020/09/29 17:13:47
Big Sky - Prairie,2020/09/29 17:13:47
Pinnow Reservoir,2020/09/29 17:42:01
